gender,ethnicity_group,education_level,meal_plan,training_completed,technical_score,communication_score,management_score
male,Group C,doctorate,standard,completed,41,62,65
male,Group B,master's degree,standard,partial,51,75,53
female,Group E,doctorate,premium,partial,67,59,91
male,Group A,bachelor's degree,premium,none,83,99,55
female,Group B,master's degree,premium,none,98,45,43
male,Group B,master's degree,standard,none,72,47,82
male,Group B,bachelor's degree,standard,partial,57,94,60
male,Group D,bachelor's degree,premium,completed,41,67,96
male,Group B,associate degree,standard,none,83,67,68
female,Group C,bachelor's degree,standard,partial,43,42,99
male,Group B,associate degree,premium,partial,80,92,99
female,Group C,bachelor's degree,premium,partial,99,91,82
female,Group D,high school,premium,partial,57,73,59
male,Group E,bachelor's degree,premium,partial,60,66,43
female,Group A,master's degree,standard,completed,56,89,93
female,Group E,high school,premium,completed,83,41,60
female,Group C,doctorate,standard,completed,66,67,55
male,Group D,master's degree,premium,partial,80,45,80
male,Group C,doctorate,premium,partial,55,44,55
male,Group A,doctorate,standard,partial,77,44,93
male,Group E,doctorate,premium,partial,97,67,59
female,Group B,bachelor's degree,premium,completed,86,40,73
male,Group A,associate degree,premium,none,74,77,43
female,Group E,bachelor's degree,standard,none,55,74,53
male,Group D,high school,premium,completed,50,71,43
female,Group B,bachelor's degree,standard,none,40,52,94
female,Group E,doctorate,standard,completed,68,98,81
female,Group B,associate degree,standard,none,46,76,41
female,Group D,doctorate,standard,none,76,47,92
male,Group E,master's degree,standard,partial,70,96,87
male,Group D,master's degree,standard,completed,81,46,77
male,Group A,bachelor's degree,standard,none,68,94,89
male,Group C,bachelor's degree,premium,completed,91,79,48
female,Group C,high school,premium,partial,94,92,56
male,Group E,doctorate,premium,partial,80,93,58
female,Group B,bachelor's degree,premium,none,64,45,90
female,Group B,doctorate,standard,partial,74,88,76
female,Group C,master's degree,premium,none,64,88,53
male,Group E,high school,premium,completed,71,44,82
female,Group B,master's degree,premium,none,73,70,44
female,Group E,doctorate,standard,partial,42,79,65
female,Group C,bachelor's degree,premium,partial,67,61,99
female,Group B,bachelor's degree,premium,completed,66,70,64
male,Group B,master's degree,premium,completed,60,46,64
male,Group D,bachelor's degree,premium,partial,58,59,57
female,Group D,doctorate,premium,completed,99,97,73
female,Group E,doctorate,premium,none,91,40,75
female,Group A,bachelor's degree,standard,none,67,74,53
male,Group B,master's degree,standard,none,44,42,67
male,Group E,doctorate,premium,partial,64,73,42
female,Group B,bachelor's degree,premium,completed,94,86,60
female,Group A,bachelor's degree,standard,completed,52,77,67
female,Group E,master's degree,premium,completed,82,95,67
male,Group D,bachelor's degree,standard,none,40,72,87
male,Group A,master's degree,premium,completed,73,85,95
male,Group E,associate degree,standard,partial,93,92,73
male,Group A,bachelor's degree,premium,none,87,74,77
male,Group E,high school,standard,none,61,54,42
male,Group C,high school,premium,completed,50,70,74
male,Group A,master's degree,premium,partial,71,68,77
male,Group D,high school,standard,completed,75,46,65
female,Group B,high school,premium,none,55,95,81
male,Group E,master's degree,premium,none,67,76,96
male,Group E,bachelor's degree,premium,none,45,46,98
female,Group D,master's degree,standard,none,44,67,88
male,Group E,master's degree,premium,completed,55,73,72
female,Group C,bachelor's degree,standard,partial,48,98,92
female,Group E,bachelor's degree,standard,completed,66,83,42
male,Group E,master's degree,premium,none,65,64,56
female,Group D,master's degree,premium,completed,40,76,70
male,Group C,associate degree,standard,completed,60,62,88
female,Group A,doctorate,standard,none,73,97,43
female,Group C,high school,premium,none,55,71,64
male,Group D,bachelor's degree,premium,none,55,85,76
male,Group A,bachelor's degree,standard,none,41,82,51
male,Group B,doctorate,premium,none,41,90,46
female,Group C,bachelor's degree,standard,completed,50,70,74
female,Group B,master's degree,premium,partial,98,42,51
female,Group E,bachelor's degree,premium,partial,91,67,99
male,Group A,high school,standard,completed,87,57,78
male,Group E,doctorate,premium,completed,61,91,63
male,Group B,master's degree,standard,none,61,47,90
female,Group A,associate degree,premium,partial,74,70,64
male,Group B,doctorate,standard,none,40,82,62
female,Group C,doctorate,premium,none,69,62,40
male,Group C,bachelor's degree,premium,none,69,93,44
male,Group D,bachelor's degree,premium,completed,45,85,70
female,Group E,master's degree,premium,partial,78,98,51
male,Group E,bachelor's degree,premium,partial,93,96,80
female,Group E,associate degree,premium,partial,50,47,84
male,Group B,high school,standard,partial,93,56,59
female,Group A,master's degree,standard,none,40,64,82
male,Group C,high school,premium,completed,74,62,65
male,Group D,bachelor's degree,standard,partial,73,79,88
male,Group D,master's degree,premium,partial,78,90,78
male,Group E,doctorate,standard,none,76,50,41
female,Group B,high school,premium,partial,70,48,68
male,Group A,doctorate,premium,partial,52,97,45
female,Group C,associate degree,premium,partial,83,84,88
female,Group D,master's degree,standard,partial,42,95,54
female,Group E,master's degree,standard,completed,84,86,58
female,Group C,master's degree,premium,completed,63,59,61
female,Group D,high school,premium,completed,74,70,67
male,Group C,doctorate,standard,none,92,57,60
male,Group E,master's degree,standard,none,82,70,51
male,Group D,associate degree,standard,none,89,98,91
female,Group C,master's degree,premium,partial,60,58,46
male,Group D,doctorate,premium,completed,65,80,91
female,Group A,high school,standard,completed,40,98,83
male,Group C,doctorate,standard,none,81,60,52
male,Group C,associate degree,standard,none,79,89,75
female,Group E,master's degree,standard,partial,59,69,87
female,Group E,doctorate,premium,partial,93,98,81
female,Group B,high school,standard,none,73,57,92
female,Group C,doctorate,standard,completed,94,62,83
male,Group D,high school,premium,none,65,44,62
female,Group D,associate degree,standard,partial,45,71,45
female,Group E,high school,standard,partial,42,48,42
female,Group C,doctorate,premium,partial,99,98,99
male,Group E,master's degree,standard,completed,66,47,80
male,Group A,associate degree,premium,partial,57,93,46
male,Group E,associate degree,standard,partial,90,48,94
female,Group A,high school,premium,completed,61,89,42
female,Group B,associate degree,premium,completed,66,49,74
male,Group A,high school,premium,partial,40,96,47
male,Group B,associate degree,standard,partial,71,87,60
female,Group D,associate degree,standard,completed,59,89,63
male,Group A,bachelor's degree,standard,partial,67,70,66
female,Group B,doctorate,standard,completed,49,40,60
male,Group A,doctorate,premium,none,54,50,62
female,Group A,master's degree,premium,partial,85,93,98
male,Group D,associate degree,standard,completed,89,42,69
female,Group B,high school,standard,none,96,86,92
male,Group B,bachelor's degree,standard,none,41,67,62
female,Group B,high school,premium,completed,40,58,70
male,Group D,associate degree,premium,none,79,74,65
female,Group A,doctorate,standard,none,77,98,93
female,Group B,doctorate,premium,partial,80,64,50
female,Group E,master's degree,premium,completed,92,49,47
female,Group C,associate degree,premium,none,65,97,79
female,Group C,associate degree,standard,none,43,67,43
male,Group D,high school,premium,none,42,91,59
male,Group A,master's degree,premium,partial,82,93,85
female,Group B,doctorate,premium,none,87,48,83
female,Group E,high school,standard,partial,66,57,50
female,Group C,doctorate,premium,none,85,62,75
female,Group A,master's degree,premium,partial,97,61,71
male,Group D,bachelor's degree,standard,none,67,90,98
male,Group B,bachelor's degree,standard,none,76,70,92
female,Group D,doctorate,premium,completed,77,41,55
male,Group D,high school,premium,none,68,57,80
female,Group E,high school,standard,none,65,50,67
female,Group C,associate degree,premium,partial,43,86,45
female,Group E,associate degree,premium,none,91,91,58
female,Group A,bachelor's degree,standard,partial,79,42,62
male,Group C,associate degree,premium,none,63,84,80
male,Group D,bachelor's degree,premium,none,87,84,59
male,Group C,associate degree,standard,partial,87,43,97
male,Group A,high school,premium,none,95,50,69
male,Group C,master's degree,premium,partial,47,82,53
female,Group A,doctorate,standard,partial,58,59,99
male,Group B,associate degree,standard,partial,98,76,62
male,Group A,associate degree,premium,partial,64,91,67
male,Group A,associate degree,premium,completed,76,70,45
male,Group E,bachelor's degree,premium,partial,87,44,42
male,Group B,bachelor's degree,premium,none,54,87,40
male,Group A,high school,standard,none,47,83,50
female,Group D,bachelor's degree,premium,none,67,73,54
female,Group B,doctorate,standard,none,72,81,83
female,Group A,high school,premium,partial,70,72,84
female,Group A,associate degree,premium,none,45,44,46
male,Group C,associate degree,standard,completed,76,41,56
male,Group E,associate degree,standard,partial,42,62,66
female,Group C,doctorate,standard,partial,77,69,79
male,Group B,master's degree,standard,none,57,59,46
male,Group A,master's degree,premium,completed,65,81,65
female,Group D,associate degree,premium,partial,81,93,91
male,Group C,bachelor's degree,standard,none,65,58,46
female,Group D,high school,standard,completed,86,55,92
male,Group C,high school,standard,none,73,55,61
male,Group B,bachelor's degree,premium,completed,43,80,99
female,Group B,associate degree,standard,completed,87,54,91
female,Group A,bachelor's degree,standard,none,57,71,45
female,Group C,associate degree,standard,completed,63,86,69
female,Group B,doctorate,standard,none,86,77,91
female,Group D,high school,premium,partial,64,79,79
male,Group A,master's degree,standard,completed,60,60,56
male,Group E,doctorate,standard,completed,47,82,88
female,Group C,high school,standard,none,95,47,47
male,Group B,doctorate,premium,partial,81,76,51
female,Group B,doctorate,standard,partial,96,84,47
male,Group E,master's degree,premium,partial,86,47,85
male,Group E,high school,premium,none,76,95,52
male,Group C,master's degree,standard,completed,95,55,98
female,Group E,high school,standard,partial,67,90,86
female,Group E,bachelor's degree,standard,partial,57,55,90
male,Group C,associate degree,premium,none,83,61,98
female,Group D,bachelor's degree,standard,partial,44,68,76
female,Group C,associate degree,premium,completed,63,40,96
male,Group B,doctorate,premium,none,63,67,78
female,Group A,high school,standard,none,64,83,83
male,Group E,master's degree,premium,none,44,80,65
male,Group C,high school,premium,partial,59,51,79
female,Group A,doctorate,premium,partial,47,51,97
female,Group E,associate degree,premium,partial,43,72,57
female,Group B,bachelor's degree,premium,partial,67,92,84
male,Group A,high school,premium,partial,94,42,60
female,Group B,master's degree,premium,partial,64,54,74
male,Group C,master's degree,premium,completed,89,62,84
female,Group A,master's degree,standard,none,81,49,60
female,Group D,master's degree,premium,partial,66,79,73
male,Group D,high school,premium,partial,47,43,51
male,Group A,bachelor's degree,standard,none,78,55,68
female,Group E,bachelor's degree,premium,partial,53,65,49
male,Group B,master's degree,premium,partial,66,50,64
male,Group C,doctorate,standard,none,46,59,52
female,Group A,associate degree,standard,none,58,69,89
male,Group B,high school,standard,completed,81,93,51
male,Group E,master's degree,standard,none,71,89,98
male,Group C,bachelor's degree,premium,partial,88,71,41
male,Group D,high school,premium,completed,65,96,72
female,Group C,doctorate,standard,completed,69,70,96
male,Group B,master's degree,standard,completed,76,56,82
male,Group A,bachelor's degree,premium,partial,43,49,92
female,Group E,master's degree,premium,partial,64,96,41
male,Group E,master's degree,premium,completed,90,81,62
male,Group A,doctorate,premium,completed,61,70,42
male,Group A,doctorate,standard,partial,82,94,64
male,Group E,doctorate,standard,none,90,63,83
female,Group E,associate degree,premium,completed,77,57,89
male,Group D,master's degree,premium,partial,72,86,52
male,Group D,associate degree,premium,completed,42,95,56
female,Group C,bachelor's degree,premium,none,52,68,50
male,Group D,master's degree,premium,none,71,57,51
male,Group C,associate degree,standard,partial,66,40,53
female,Group C,doctorate,standard,partial,75,86,77
female,Group A,associate degree,premium,none,84,64,83
female,Group D,master's degree,premium,completed,92,95,74
female,Group D,bachelor's degree,premium,partial,41,92,86
male,Group C,master's degree,standard,none,60,93,91
male,Group E,doctorate,standard,none,67,69,83
male,Group D,high school,standard,none,45,79,82
female,Group C,associate degree,premium,completed,81,76,67
female,Group B,high school,standard,completed,56,62,63
female,Group D,doctorate,premium,none,90,63,91
male,Group A,master's degree,standard,none,73,57,56
female,Group A,bachelor's degree,standard,completed,99,99,53
female,Group B,master's degree,standard,partial,43,86,80
female,Group E,master's degree,premium,completed,76,66,44
male,Group A,high school,premium,none,75,45,61
male,Group E,bachelor's degree,premium,partial,74,45,41
female,Group E,associate degree,standard,completed,89,87,51
female,Group C,associate degree,premium,none,92,50,99
male,Group B,bachelor's degree,premium,none,53,55,59
female,Group B,high school,premium,none,89,63,67
male,Group C,associate degree,premium,none,94,83,47
male,Group A,bachelor's degree,standard,partial,74,40,85
male,Group E,high school,premium,none,44,73,41
male,Group A,high school,premium,completed,78,56,74
male,Group A,associate degree,premium,partial,53,74,46
male,Group E,associate degree,standard,partial,80,90,66
male,Group C,master's degree,premium,none,75,77,95
female,Group D,bachelor's degree,premium,none,51,73,41
male,Group B,associate degree,standard,partial,72,91,76
female,Group D,bachelor's degree,premium,partial,69,69,86
male,Group E,doctorate,premium,completed,79,89,50
male,Group A,bachelor's degree,standard,completed,60,75,84
female,Group D,doctorate,premium,none,41,88,97
male,Group E,bachelor's degree,premium,none,65,87,73
male,Group A,associate degree,standard,completed,88,80,59
male,Group A,high school,standard,completed,90,80,85
female,Group B,master's degree,standard,completed,49,96,47
male,Group D,associate degree,premium,completed,70,93,44
female,Group A,bachelor's degree,standard,partial,67,71,72
male,Group E,high school,premium,none,91,55,44
female,Group E,bachelor's degree,premium,none,89,56,78
male,Group B,doctorate,standard,partial,88,61,43
female,Group C,bachelor's degree,premium,completed,80,75,64
female,Group A,associate degree,standard,completed,89,71,79
female,Group A,doctorate,premium,completed,90,69,71
female,Group B,bachelor's degree,premium,none,60,62,61
female,Group B,master's degree,standard,none,83,51,41
female,Group E,doctorate,premium,completed,46,67,79
male,Group B,high school,premium,completed,73,51,55
male,Group B,high school,standard,completed,42,80,72
female,Group D,bachelor's degree,standard,completed,58,42,55
female,Group B,master's degree,premium,partial,48,85,72
male,Group E,doctorate,standard,completed,52,58,57
female,Group A,bachelor's degree,standard,completed,55,71,70
female,Group A,doctorate,premium,partial,58,53,69
female,Group A,master's degree,premium,none,46,93,75
female,Group E,master's degree,standard,partial,49,67,59
female,Group C,master's degree,premium,partial,73,84,73
male,Group A,master's degree,premium,completed,87,98,60
male,Group B,master's degree,standard,partial,57,42,54
female,Group C,associate degree,premium,none,95,97,55
female,Group A,master's degree,premium,none,97,66,95
male,Group B,bachelor's degree,standard,none,82,88,86
male,Group A,high school,standard,none,60,43,85
male,Group A,master's degree,premium,none,95,66,40
female,Group A,bachelor's degree,standard,completed,80,73,68
female,Group A,high school,premium,none,93,61,51
male,Group D,associate degree,premium,completed,80,56,81
male,Group C,doctorate,premium,partial,62,74,59
male,Group A,high school,premium,partial,84,81,97
male,Group A,associate degree,premium,partial,93,69,41
male,Group A,high school,premium,none,56,55,85
male,Group C,associate degree,premium,none,99,87,49
female,Group C,associate degree,premium,partial,88,72,78
female,Group B,associate degree,premium,partial,71,81,95
female,Group B,bachelor's degree,premium,completed,86,64,81
male,Group B,master's degree,premium,partial,82,88,97
male,Group B,bachelor's degree,premium,none,76,96,77
male,Group D,master's degree,standard,partial,61,67,78
male,Group C,high school,premium,completed,55,78,59
male,Group B,doctorate,premium,partial,71,44,73
female,Group A,doctorate,premium,completed,55,98,44
male,Group C,master's degree,standard,none,48,97,42
female,Group E,master's degree,premium,completed,72,45,44
male,Group A,doctorate,premium,completed,51,70,52
male,Group D,high school,premium,partial,69,92,76
male,Group B,bachelor's degree,premium,partial,74,62,54
female,Group C,bachelor's degree,premium,completed,97,64,91
female,Group B,bachelor's degree,standard,none,47,45,53
female,Group A,associate degree,premium,partial,50,89,91
male,Group C,master's degree,standard,partial,99,69,59
male,Group A,associate degree,standard,none,55,77,74
female,Group C,associate degree,standard,completed,81,77,45
female,Group E,high school,premium,none,98,52,84
male,Group C,high school,premium,none,43,94,87
male,Group D,associate degree,standard,none,86,96,59
male,Group A,high school,premium,completed,49,98,73
female,Group C,bachelor's degree,standard,partial,75,73,52
female,Group D,associate degree,standard,completed,79,90,75
female,Group C,master's degree,premium,completed,99,60,66
male,Group E,high school,premium,partial,96,98,49
male,Group B,doctorate,standard,none,62,43,72
male,Group C,associate degree,premium,completed,56,60,84
male,Group E,doctorate,standard,completed,94,56,69
male,Group A,doctorate,standard,none,54,70,72
female,Group E,master's degree,premium,partial,41,96,55
male,Group C,doctorate,premium,completed,86,42,98
female,Group A,doctorate,premium,partial,40,89,88
male,Group A,master's degree,standard,partial,55,42,97
female,Group B,doctorate,standard,none,50,69,58
male,Group B,master's degree,premium,completed,85,48,54
male,Group C,bachelor's degree,premium,completed,47,98,70
female,Group A,bachelor's degree,premium,none,62,70,84
male,Group D,doctorate,premium,partial,42,88,56
female,Group D,associate degree,premium,completed,42,97,50
female,Group D,bachelor's degree,premium,completed,83,56,86
female,Group B,high school,standard,none,89,52,51
female,Group D,master's degree,standard,none,41,70,79
male,Group B,high school,premium,partial,74,49,81
female,Group D,doctorate,premium,completed,63,86,78
male,Group A,bachelor's degree,standard,none,87,89,73
male,Group E,master's degree,standard,completed,96,48,48
male,Group B,bachelor's degree,premium,none,63,96,95
male,Group A,doctorate,premium,none,84,73,94
male,Group E,associate degree,standard,partial,96,64,55
female,Group C,master's degree,standard,partial,68,71,40
female,Group A,master's degree,standard,none,84,83,66
male,Group D,high school,standard,partial,80,91,52
male,Group D,master's degree,premium,completed,47,80,95
male,Group C,associate degree,premium,none,56,47,70
female,Group C,associate degree,premium,none,82,73,46
female,Group D,high school,standard,none,83,92,99
female,Group D,doctorate,premium,none,46,56,91
female,Group C,doctorate,standard,partial,53,79,90
male,Group E,high school,premium,completed,99,77,42
female,Group C,bachelor's degree,standard,partial,43,79,99
female,Group C,master's degree,premium,completed,68,92,64
female,Group E,high school,premium,partial,80,46,75
female,Group D,high school,premium,completed,89,65,80
female,Group E,doctorate,standard,completed,53,40,66
female,Group A,master's degree,premium,none,99,47,67
male,Group B,master's degree,standard,none,45,91,43
male,Group B,bachelor's degree,premium,partial,76,81,91
female,Group B,bachelor's degree,premium,partial,94,87,79
male,Group E,associate degree,standard,partial,80,77,52
male,Group A,high school,standard,none,63,94,43
female,Group C,associate degree,standard,none,81,40,76
female,Group C,associate degree,premium,completed,51,68,45
female,Group A,associate degree,standard,partial,46,78,88
female,Group A,high school,premium,none,46,62,56
male,Group C,doctorate,premium,completed,74,84,75
male,Group E,doctorate,standard,partial,48,49,53
female,Group C,bachelor's degree,standard,partial,70,72,82
male,Group C,associate degree,premium,none,94,68,52
male,Group A,high school,premium,partial,43,88,95
female,Group D,associate degree,premium,completed,58,62,92
